2026-05-29 22:42:14,926 - main - INFO - === Logging system initialized ===
2026-05-29 22:42:14,926 - main - INFO - Log file: logs/app_20260529_224214.log
2026-05-29 22:42:14,927 - main - INFO - Log level: INFO
2026-05-29 22:42:14,927 - main - INFO - Timestamp: 20260529_224214
2026-05-29 22:42:31,847 - main - INFO - Included router: routers.ai_generate.router
2026-05-29 22:42:32,030 - main - INFO - Included router: routers.aihub.router
2026-05-29 22:42:32,079 - main - INFO - Included router: routers.auth.router
2026-05-29 22:42:32,181 - main - INFO - Included router: routers.conversations.router
2026-05-29 22:42:32,202 - main - INFO - Included router: routers.health.router
2026-05-29 22:42:32,324 - main - INFO - Included router: routers.project_files.router
2026-05-29 22:42:32,411 - main - INFO - Included router: routers.projects.router
2026-05-29 22:42:32,678 - main - INFO - Included router: routers.publish.router
2026-05-29 22:42:32,744 - main - INFO - Included router: routers.settings.router
2026-05-29 22:42:32,953 - main - INFO - Included router: routers.storage.router
2026-05-29 22:42:32,992 - main - INFO - Included router: routers.user.router
2026-05-29 22:42:33,130 - main - INFO - Included router: routers.versions.router
2026-05-29 22:42:36,625 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260529_224236.log')}
2026-05-29 22:42:36,976 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:37,327 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:37,679 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224236.log')}
2026-05-29 22:42:38,030 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224236.log')}
2026-05-29 22:42:38,381 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:38,732 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:39,083 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:39,434 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:39,786 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:40,137 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
2026-05-29 22:42:40,488 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_224214.log')}
