2026-05-29 20:42:54,772 - main - INFO - === Logging system initialized ===
2026-05-29 20:42:54,772 - main - INFO - Log file: logs/app_20260529_204254.log
2026-05-29 20:42:54,772 - main - INFO - Log level: INFO
2026-05-29 20:42:54,772 - main - INFO - Timestamp: 20260529_204254
2026-05-29 20:42:55,718 - main - INFO - Included router: routers.ai_generate.router
2026-05-29 20:42:55,736 - main - INFO - Included router: routers.aihub.router
2026-05-29 20:42:55,748 - main - INFO - Included router: routers.auth.router
2026-05-29 20:42:55,804 - main - INFO - Included router: routers.conversations.router
2026-05-29 20:42:55,807 - main - INFO - Included router: routers.health.router
2026-05-29 20:42:55,866 - main - INFO - Included router: routers.project_files.router
2026-05-29 20:42:55,917 - main - INFO - Included router: routers.projects.router
2026-05-29 20:42:55,926 - main - INFO - Included router: routers.publish.router
2026-05-29 20:42:55,948 - main - INFO - Included router: routers.settings.router
2026-05-29 20:42:55,993 - main - INFO - Included router: routers.storage.router
2026-05-29 20:42:56,004 - main - INFO - Included router: routers.user.router
2026-05-29 20:42:56,090 - main - INFO - Included router: routers.versions.router
2026-05-29 20:42:57,793 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260529_204257.log')}
2026-05-29 20:42:58,144 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
2026-05-29 20:42:58,495 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
2026-05-29 20:42:58,846 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204257.log')}
2026-05-29 20:42:59,197 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204257.log')}
2026-05-29 20:42:59,548 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
2026-05-29 20:42:59,899 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
2026-05-29 20:43:00,250 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
2026-05-29 20:43:00,601 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
2026-05-29 20:43:00,952 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204254.log')}
