2026-05-29 20:14:16,061 - main - INFO - === Logging system initialized ===
2026-05-29 20:14:16,061 - main - INFO - Log file: logs/app_20260529_201416.log
2026-05-29 20:14:16,061 - main - INFO - Log level: INFO
2026-05-29 20:14:16,061 - main - INFO - Timestamp: 20260529_201416
2026-05-29 20:14:16,898 - main - INFO - Included router: routers.ai_generate.router
2026-05-29 20:14:16,923 - main - INFO - Included router: routers.aihub.router
2026-05-29 20:14:16,935 - main - INFO - Included router: routers.auth.router
2026-05-29 20:14:16,978 - main - INFO - Included router: routers.conversations.router
2026-05-29 20:14:16,981 - main - INFO - Included router: routers.health.router
2026-05-29 20:14:17,026 - main - INFO - Included router: routers.project_files.router
2026-05-29 20:14:17,098 - main - INFO - Included router: routers.projects.router
2026-05-29 20:14:17,113 - main - INFO - Included router: routers.publish.router
2026-05-29 20:14:17,132 - main - INFO - Included router: routers.settings.router
2026-05-29 20:14:17,167 - main - INFO - Included router: routers.storage.router
2026-05-29 20:14:17,178 - main - INFO - Included router: routers.user.router
2026-05-29 20:14:17,223 - main - INFO - Included router: routers.versions.router
2026-05-29 20:14:18,837 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260529_201418.log')}
2026-05-29 20:14:19,188 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:19,540 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:19,891 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201418.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:20,242 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201418.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:20,593 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:20,944 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:21,294 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:21,646 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
2026-05-29 20:14:21,996 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_201416.log')}
