2026-05-30 20:09:17,577 - main - INFO - === Logging system initialized ===
2026-05-30 20:09:17,578 - main - INFO - Log file: logs/app_20260530_200917.log
2026-05-30 20:09:17,578 - main - INFO - Log level: INFO
2026-05-30 20:09:17,578 - main - INFO - Timestamp: 20260530_200917
2026-05-30 20:09:18,498 - main - INFO - Included router: routers.ai_generate.router
2026-05-30 20:09:18,526 - main - INFO - Included router: routers.aihub.router
2026-05-30 20:09:18,537 - main - INFO - Included router: routers.auth.router
2026-05-30 20:09:18,578 - main - INFO - Included router: routers.conversations.router
2026-05-30 20:09:18,580 - main - INFO - Included router: routers.health.router
2026-05-30 20:09:18,621 - main - INFO - Included router: routers.project_files.router
2026-05-30 20:09:18,666 - main - INFO - Included router: routers.projects.router
2026-05-30 20:09:18,673 - main - INFO - Included router: routers.publish.router
2026-05-30 20:09:18,696 - main - INFO - Included router: routers.settings.router
2026-05-30 20:09:18,737 - main - INFO - Included router: routers.storage.router
2026-05-30 20:09:18,748 - main - INFO - Included router: routers.user.router
2026-05-30 20:09:18,794 - main - INFO - Included router: routers.versions.router
2026-05-30 20:09:20,618 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260530_200920.log')}
2026-05-30 20:09:20,969 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:21,320 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:21,671 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200920.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:22,022 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200920.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:22,373 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:22,724 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:23,075 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:23,426 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:23,777 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:24,127 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:24,478 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:24,829 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:25,180 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
2026-05-30 20:09:25,531 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260530_200917.log')}
