2026-05-29 21:15:42,471 - main - INFO - === Logging system initialized ===
2026-05-29 21:15:42,472 - main - INFO - Log file: logs/app_20260529_211542.log
2026-05-29 21:15:42,472 - main - INFO - Log level: INFO
2026-05-29 21:15:42,472 - main - INFO - Timestamp: 20260529_211542
2026-05-29 21:15:43,303 - main - INFO - Included router: routers.ai_generate.router
2026-05-29 21:15:43,329 - main - INFO - Included router: routers.aihub.router
2026-05-29 21:15:43,341 - main - INFO - Included router: routers.auth.router
2026-05-29 21:15:43,386 - main - INFO - Included router: routers.conversations.router
2026-05-29 21:15:43,389 - main - INFO - Included router: routers.health.router
2026-05-29 21:15:43,434 - main - INFO - Included router: routers.project_files.router
2026-05-29 21:15:43,481 - main - INFO - Included router: routers.projects.router
2026-05-29 21:15:43,488 - main - INFO - Included router: routers.publish.router
2026-05-29 21:15:43,508 - main - INFO - Included router: routers.settings.router
2026-05-29 21:15:43,544 - main - INFO - Included router: routers.storage.router
2026-05-29 21:15:43,553 - main - INFO - Included router: routers.user.router
2026-05-29 21:15:43,597 - main - INFO - Included router: routers.versions.router
2026-05-29 21:15:45,219 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260529_211545.log')}
2026-05-29 21:15:45,572 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:45,922 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:46,273 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211545.log')}
2026-05-29 21:15:46,624 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211545.log')}
2026-05-29 21:15:46,975 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211545.log')}
2026-05-29 21:15:47,326 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:47,677 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:48,028 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:48,379 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:48,730 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:49,081 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:49,433 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:49,814 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:50,165 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:50,516 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:50,868 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:51,219 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:51,570 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:51,921 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:52,271 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:52,622 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:52,973 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:53,324 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:53,675 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
2026-05-29 21:15:54,026 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211545.log')}
2026-05-29 21:15:54,377 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_211542.log')}
