2026-05-29 20:47:19,353 - main - INFO - === Logging system initialized ===
2026-05-29 20:47:19,353 - main - INFO - Log file: logs/app_20260529_204719.log
2026-05-29 20:47:19,354 - main - INFO - Log level: INFO
2026-05-29 20:47:19,354 - main - INFO - Timestamp: 20260529_204719
2026-05-29 20:47:20,448 - main - INFO - Included router: routers.ai_generate.router
2026-05-29 20:47:20,473 - main - INFO - Included router: routers.aihub.router
2026-05-29 20:47:20,489 - main - INFO - Included router: routers.auth.router
2026-05-29 20:47:20,546 - main - INFO - Included router: routers.conversations.router
2026-05-29 20:47:20,548 - main - INFO - Included router: routers.health.router
2026-05-29 20:47:20,602 - main - INFO - Included router: routers.project_files.router
2026-05-29 20:47:20,668 - main - INFO - Included router: routers.projects.router
2026-05-29 20:47:20,683 - main - INFO - Included router: routers.publish.router
2026-05-29 20:47:20,713 - main - INFO - Included router: routers.settings.router
2026-05-29 20:47:20,753 - main - INFO - Included router: routers.storage.router
2026-05-29 20:47:20,766 - main - INFO - Included router: routers.user.router
2026-05-29 20:47:20,821 - main - INFO - Included router: routers.versions.router
2026-05-29 20:47:22,291 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260529_204722.log')}
2026-05-29 20:47:22,642 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
2026-05-29 20:47:22,993 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
2026-05-29 20:47:23,344 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204722.log')}
2026-05-29 20:47:23,694 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204722.log')}
2026-05-29 20:47:24,045 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
2026-05-29 20:47:24,397 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
2026-05-29 20:47:24,748 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
2026-05-29 20:47:25,098 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
2026-05-29 20:47:25,449 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260529_204719.log')}
